time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1767983539.24885917,0.00617623,8771,0.00027236,0.00000000,0,0.00000000,2623,2649,49,0.00139721
1767983539.34970903,0.00395975,8804,0.00020745,0.00000000,0,0.00000000,2649,2643,37,0.00081573
1767983539.44928384,0.00554929,8616,0.00020289,0.00000000,0,0.00000000,2643,2666,39,0.00097615
1767983539.55010104,0.00287951,8770,0.00009898,0.00000000,0,0.00000000,2666,2676,40,0.00095823
1767983539.64966583,0.00556420,8700,0.00027575,0.00000000,0,0.00000000,2676,2682,45,0.00103490
1767983539.74916577,0.00558249,8813,0.00016781,0.00000000,0,0.00000000,2682,2699,42,0.00032131
1767983539.84871125,0.00583818,8923,0.00031151,0.00000000,0,0.00000000,2699,2702,38,0.00172292
1767983539.94960690,0.00443631,9185,0.00015572,0.00000000,0,0.00000000,2702,2715,52,0.00091869
1767983540.04916453,0.00608325,9152,0.00029506,0.00000000,0,0.00000000,2715,2735,45,0.00101574
1767983540.14866853,0.00215281,9256,0.00010321,0.00000000,0,0.00000000,2735,2761,57,0.00173208
1767983540.24952960,0.00643642,9583,0.00036812,0.00000000,0,0.00000000,2761,2761,48,0.00185729
1767983540.34906387,0.00403210,9553,0.00027027,0.00000000,0,0.00000000,2761,2764,61,0.00104072
1767983540.44860363,0.00669837,9677,0.00060069,0.00000000,0,0.00000000,2764,2763,86,0.00107049
1767983540.54946661,0.00492891,9938,0.00029486,0.00000000,0,0.00000000,2763,2783,70,0.00087580
1767983540.64894629,0.00652086,9887,0.00033436,0.00000000,0,0.00000000,2783,2793,56,0.00106663
1767983540.74980259,0.00450799,10064,0.00024988,0.00000000,0,0.00000000,2793,2792,45,0.00036307
1767983540.84939623,0.00642751,9972,0.00018989,0.00000000,0,0.00000000,2792,2824,45,0.00096668
1767983540.94888091,0.00368998,9997,0.00017232,0.00000000,0,0.00000000,2824,2841,63,0.00107321
1767983541.04939246,0.00659045,10179,0.00030153,0.00000000,0,0.00000000,2841,2866,51,0.00095501
1767983541.14930415,0.00465319,10024,0.00020744,0.00000000,0,0.00000000,2866,2867,52,0.00035496
1767983541.24880171,0.00664580,10062,0.00031389,0.00000000,0,0.00000000,2867,2884,54,0.00097025
1767983541.34968352,0.00190217,10259,0.00007941,0.00000000,0,0.00000000,2884,2916,64,0.00098068
1767983541.44923067,0.00187595,10211,0.00007442,0.00000000,0,0.00000000,2916,2914,36,0.00096227
1767983541.54872990,0.00412364,10271,0.00014072,0.00000000,0,0.00000000,2914,2922,33,0.00034744
1767983541.64965510,0.00660644,10528,0.00023208,0.00000000,0,0.00000000,2922,2931,41,0.00095061
1767983541.74916029,0.00272493,10457,0.00011456,0.00000000,0,0.00000000,2931,2964,54,0.00031767
1767983541.84869123,0.00746912,10508,0.00033696,0.00000000,0,0.00000000,2964,2957,45,0.00031772
1767983541.94953036,0.00717046,10785,0.00021394,0.00000000,0,0.00000000,2957,2978,47,0.00095774
1767983542.04905820,0.00690908,10687,0.00052000,0.00000000,0,0.00000000,2978,2959,76,0.00096503
1767983542.14990568,0.00343615,10907,0.00008892,0.00000000,0,0.00000000,2959,3004,67,0.00156679
1767983542.24948120,0.00742638,10785,0.00013353,0.00000000,0,0.00000000,3004,3014,48,0.00165735
1767983542.34902596,0.00673068,10835,0.00029762,0.00000000,0,0.00000000,3014,3012,45,0.00167985
1767983542.44982910,0.00715295,11028,0.00042296,0.00000000,0,0.00000000,3012,3039,78,0.00104634
1767983542.54941750,0.00765605,10910,0.00025457,0.00000000,0,0.00000000,3039,3054,45,0.00097126
1767983542.64889836,0.00790392,10926,0.00033558,0.00000000,0,0.00000000,3054,3060,37,0.00096053
1767983542.74976945,0.00529273,11148,0.00028418,0.00000000,0,0.00000000,3060,3055,54,0.00151970
1767983542.84932280,0.00654192,11047,0.00061780,0.00000000,0,0.00000000,3055,3043,62,0.00096005
1767983542.94881797,0.00198689,11118,0.00007887,0.00000000,0,0.00000000,3043,3077,56,0.00080280
1767983543.04968643,0.00725059,11350,0.00037932,0.00000000,0,0.00000000,3077,3079,65,0.00046274
1767983543.14926052,0.00674740,11256,0.00036435,0.00000000,0,0.00000000,3079,3111,76,0.00039483
1767983543.24875951,0.00720950,11324,0.00038813,0.00000000,0,0.00000000,3111,3147,67,0.00047357
1767983543.34940577,0.00448802,11528,0.00040658,0.00000000,0,0.00000000,3147,3127,69,0.00077135
1767983543.44919038,0.00731465,11419,0.00027697,0.00000000,0,0.00000000,3127,3141,38,0.00099317
1767983543.54872966,0.00767119,11456,0.00043640,0.00000000,0,0.00000000,3141,3191,82,0.00088238
1767983543.64958763,0.00892285,11619,0.00087703,0.00000000,0,0.00000000,3191,3139,101,0.00097882
1767983543.74911666,0.00687292,11454,0.00037923,0.00000000,0,0.00000000,3139,3189,73,0.00030372
1767983543.84866953,0.00772204,11467,0.00047150,0.00000000,0,0.00000000,3189,3223,76,0.00098520
1767983543.94950891,0.00537000,11586,0.00023042,0.00000000,0,0.00000000,3223,3250,57,0.00033336
1767983544.04899454,0.00805608,11375,0.00105052,0.00000000,0,0.00000000,3250,3195,84,0.00108999
1767983544.14853334,0.00755147,11370,0.00036298,0.00000000,0,0.00000000,3195,3215,59,0.00097925
1767983544.24939179,0.00752077,11565,0.00027652,0.00000000,0,0.00000000,3215,3230,49,0.00094083
1767983544.34896183,0.00488404,11414,0.00015051,0.00000000,0,0.00000000,3230,3238,64,0.00064089
1767983544.44847655,0.00776299,11446,0.00036348,0.00000000,0,0.00000000,3238,3273,62,0.00107083
1767983544.54934883,0.00391726,11681,0.00014255,0.00000000,0,0.00000000,3273,3284,56,0.00096761
1767983544.64853764,0.00731485,11597,0.00037444,0.00000000,0,0.00000000,3284,3307,69,0.00097973
1767983544.74977541,0.00212818,11864,0.00010450,0.00000000,0,0.00000000,3307,3350,83,0.00092591
1767983544.84928036,0.00210975,11735,0.00014396,0.00000000,0,0.00000000,3350,3389,110,0.00097579
1767983544.94877887,0.00484409,11677,0.00029451,0.00000000,0,0.00000000,3389,3441,96,0.00097430
1767983545.04966807,0.00767328,11857,0.00047971,0.00000000,0,0.00000000,3441,3481,94,0.00100218
1767983545.14892554,0.00352056,11603,0.00039478,0.00000000,0,0.00000000,3481,3541,156,0.00030316
1767983545.24869990,0.00870151,11601,0.00064978,0.00000000,0,0.00000000,3541,3590,108,0.00030102
1767983545.34963632,0.00866271,11730,0.00056781,0.00000000,0,0.00000000,3590,3617,93,0.00029793
1767983545.44916391,0.00811514,11627,0.00049619,0.00000000,0,0.00000000,3617,3669,91,0.00104747
1767983545.55000067,0.00315755,11761,0.00017497,0.00000000,0,0.00000000,3669,3671,63,0.00063364
1767983545.64936876,0.00775976,11621,0.00056639,0.00000000,0,0.00000000,3671,3694,80,0.00167265
1767983545.74907613,0.00283512,11693,0.00012104,0.00000000,0,0.00000000,3694,3712,69,0.00109310
1767983545.84987855,0.00833280,11969,0.00090665,0.00000000,0,0.00000000,3712,3740,113,0.00096397
1767983545.94946647,0.00368156,11832,0.00038063,0.00000000,0,0.00000000,3740,3798,116,0.00031554
1767983546.04896760,0.00884329,11825,0.00053813,0.00000000,0,0.00000000,3798,3845,97,0.00096284
1767983546.14851522,0.00566120,11764,0.00042032,0.00000000,0,0.00000000,3845,3895,141,0.00094551
1767983546.24937892,0.00710693,11858,0.00030095,0.00000000,0,0.00000000,3895,3921,86,0.00111218
1767983546.34887075,0.00314988,11640,0.00020194,0.00000000,0,0.00000000,3921,3949,69,0.00093505
1767983546.44812846,0.00704437,11642,0.00010148,0.00000000,0,0.00000000,3949,3978,63,0.00166358
1767983546.54931378,0.00374508,11891,0.00020525,0.00000000,0,0.00000000,3978,3983,81,0.00070596
1767983546.64880943,0.00668211,11846,0.00120161,0.00000000,0,0.00000000,3983,3855,70,0.00169540
1767983546.74837446,0.00587025,11825,0.00036805,0.00000000,0,0.00000000,3855,3871,72,0.00085019
1767983546.84924364,0.00291711,12101,0.00015341,0.00000000,0,0.00000000,3871,3929,92,0.00104100
1767983546.94861984,0.00789994,11953,0.00036981,0.00000000,0,0.00000000,3929,3959,70,0.00172836
1767983547.04963970,0.00747476,12130,0.00032509,0.00000000,0,0.00000000,3959,3979,58,0.00081485
1767983547.14915538,0.00225196,11999,0.00010033,0.00000000,0,0.00000000,3979,4008,66,0.00034113
1767983547.24997973,0.00712928,12222,0.00032943,0.00000000,0,0.00000000,4008,4026,56,0.00030253
1767983547.34953785,0.00606669,12090,0.00019053,0.00000000,0,0.00000000,4026,4051,50,0.00097059
1767983547.44906378,0.00753584,12145,0.00021185,0.00000000,0,0.00000000,4051,4086,50,0.00105512
1767983547.54990649,0.00831437,12341,0.00034425,0.00000000,0,0.00000000,4086,4099,48,0.00032072
1767983547.64947581,0.00464392,12133,0.00015603,0.00000000,0,0.00000000,4099,4129,64,0.00064565
1767983547.74903131,0.00712717,12189,0.00010922,0.00000000,0,0.00000000,4129,4158,67,0.00115086
1767983547.84855270,0.00875951,12151,0.00042804,0.00000000,0,0.00000000,4158,4136,62,0.00096115
1767983547.94939852,0.00212534,12375,0.00009042,0.00000000,0,0.00000000,4136,4144,50,0.00153416
1767983548.04895329,0.00767455,12167,0.00034016,0.00000000,0,0.00000000,4144,4168,58,0.00068044
1767983548.14851284,0.00701554,12149,0.00032493,0.00000000,0,0.00000000,4168,4180,67,0.00094878
1767983548.24933743,0.00285901,12355,0.00013357,0.00000000,0,0.00000000,4180,4226,74,0.00175612
1767983548.34881878,0.00779974,12192,0.00038513,0.00000000,0,0.00000000,4226,4252,63,0.00110424
1767983548.44968081,0.00807425,12452,0.00044660,0.00000000,0,0.00000000,4252,4270,66,0.00105088
1767983548.54925537,0.00568140,12302,0.00016953,0.00000000,0,0.00000000,4270,4294,50,0.00091182
1767983548.65013909,0.00369732,12556,0.00016885,0.00000000,0,0.00000000,4294,4302,55,0.00033539
1767983548.74960899,0.00707227,12462,0.00010689,0.00000000,0,0.00000000,4302,4318,58,0.00088373
1767983548.84919143,0.00802483,12521,0.00035497,0.00000000,0,0.00000000,4318,4321,56,0.00116642
1767983548.94867682,0.00685695,12715,0.00020274,0.00000000,0,0.00000000,4321,4336,41,0.00098704
1767983549.04956985,0.00802005,12988,0.00024939,0.00000000,0,0.00000000,4336,4346,43,0.00036093
1767983549.14911342,0.00321838,12891,0.00020724,0.00000000,0,0.00000000,4346,4379,66,0.00102962
1767983549.24864912,0.00816403,13012,0.00064879,0.00000000,0,0.00000000,4379,4330,58,0.00100524
1767983549.34950876,0.00665707,13252,0.00037114,0.00000000,0,0.00000000,4330,4358,60,0.00090665
1767983549.44903278,0.00776436,13170,0.00027704,0.00000000,0,0.00000000,4358,4382,45,0.00174415
1767983549.54858708,0.00647066,13326,0.00008447,0.00000000,0,0.00000000,4382,4403,53,0.00168373
1767983549.64945173,0.00670245,13583,0.00007174,0.00000000,0,0.00000000,4403,4419,41,0.00097723
1767983549.74891996,0.00772044,13480,0.00031054,0.00000000,0,0.00000000,4419,4430,48,0.00072815
1767983549.84979486,0.00887856,13758,0.00025220,0.00000000,0,0.00000000,4430,4437,32,0.00111067
1767983549.94938397,0.00704109,13620,0.00033713,0.00000000,0,0.00000000,4437,4454,52,0.00035487
1767983550.04885435,0.00818236,13651,0.00034648,0.00000000,0,0.00000000,4454,4469,52,0.00140443
1767983550.14974928,0.00224248,13866,0.00010437,0.00000000,0,0.00000000,4469,4475,56,0.00037240
1767983550.24931073,0.00589597,13627,0.00037910,0.00000000,0,0.00000000,4475,4487,55,0.00115967
1767983550.35015297,0.00366336,13803,0.00027728,0.00000000,0,0.00000000,4487,4484,67,0.00073676
1767983550.44964266,0.00847183,13633,0.00067587,0.00000000,0,0.00000000,4484,4488,60,0.00196588
1767983550.54920697,0.00842016,13615,0.00026842,0.00000000,0,0.00000000,4350,4376,57,0.00035106
1767983550.64870477,0.00823194,13624,0.00046771,0.00000000,0,0.00000000,4376,4397,67,0.00152083
1767983550.74962664,0.00228959,13820,0.00006819,0.00000000,0,0.00000000,4397,4424,47,0.00037676
1767983550.84913588,0.00802040,13652,0.00022634,0.00000000,0,0.00000000,4424,4449,44,0.00101052
1767983550.94864416,0.00290755,13646,0.00015077,0.00000000,0,0.00000000,4449,4437,47,0.00065723
1767983551.04953742,0.00568847,13825,0.00027369,0.00000000,0,0.00000000,4437,4446,41,0.00101221
1767983551.14904761,0.00458415,13671,0.00022741,0.00000000,0,0.00000000,4446,4466,64,0.00031523
1767983551.24988365,0.00807186,13837,0.00030002,0.00000000,0,0.00000000,4466,4493,57,0.00101110
1767983551.34945679,0.00323479,13700,0.00012281,0.00000000,0,0.00000000,4493,4511,73,0.00094693
1767983551.44894123,0.00512045,13713,0.00021182,0.00000000,0,0.00000000,4511,4537,51,0.00047188
1767983551.54980683,0.00857264,13887,0.00057296,0.00000000,0,0.00000000,4537,4562,85,0.00034970
1767983551.64938855,0.00228685,13696,0.00008391,0.00000000,0,0.00000000,4562,4579,45,0.00116117
1767983551.74887824,0.00636182,13690,0.00025929,0.00000000,0,0.00000000,4579,4594,37,0.00063377
1767983551.84973502,0.00240680,13891,0.00011009,0.00000000,0,0.00000000,4594,4611,68,0.00037907
1767983551.94931531,0.00697291,13679,0.00031641,0.00000000,0,0.00000000,4611,4615,34,0.00098013
1767983552.04879284,0.00343809,13685,0.00023937,0.00000000,0,0.00000000,4615,4606,51,0.00035791
1767983552.14834332,0.00811885,13679,0.00025430,0.00000000,0,0.00000000,4606,4634,52,0.00113653
1767983552.24921775,0.00302347,13894,0.00017461,0.00000000,0,0.00000000,4634,4647,65,0.00034659
1767983552.34872437,0.00509687,13623,0.00022492,0.00000000,0,0.00000000,4647,4647,45,0.00047294
1767983552.44964623,0.00923570,13840,0.00020488,0.00000000,0,0.00000000,4647,4676,39,0.00032138
1767983552.54915380,0.00234446,13641,0.00009774,0.00000000,0,0.00000000,4676,4661,36,0.00113681
1767983552.65001106,0.00881902,13851,0.00029460,0.00000000,0,0.00000000,4661,4688,46,0.00031894
1767983552.74957538,0.00345101,13649,0.00009582,0.00000000,0,0.00000000,4688,4713,33,0.00036296
1767983552.84945583,0.00837014,13650,0.00047435,0.00000000,0,0.00000000,4713,4720,52,0.00174408
1767983552.94990873,0.00534087,13834,0.00018168,0.00000000,0,0.00000000,4720,4772,68,0.00031292
1767983553.04943657,0.00432484,13662,0.00027009,0.00000000,0,0.00000000,4772,4796,75,0.00103663
1767983553.14897919,0.00864542,13662,0.00037034,0.00000000,0,0.00000000,4796,4825,67,0.00030914
1767983553.24982381,0.00933621,13841,0.00032934,0.00000000,0,0.00000000,4825,4865,67,0.00112442
1767983553.34934521,0.00397361,13674,0.00016889,0.00000000,0,0.00000000,4585,4638,64,0.00091544
1767983553.44889760,0.01025457,13677,0.00045060,0.00000000,0,0.00000000,4638,4693,82,0.00032047
1767983553.54844332,0.00957220,13664,0.00054473,0.00000000,0,0.00000000,4693,4766,116,0.00169758
1767983553.64932346,0.01015211,13876,0.00067834,0.00000000,0,0.00000000,4766,4806,110,0.00171236
1767983553.74882221,0.00364260,13648,0.00021065,0.00000000,0,0.00000000,4806,4851,95,0.00063706
1767983553.84840393,0.00770418,13577,0.00009397,0.00000000,0,0.00000000,4851,4899,74,0.00169399
1767983553.94925404,0.00233884,13748,0.00007049,0.00000000,0,0.00000000,4899,4923,48,0.00065502
1767983554.04874706,0.00891398,13564,0.00060120,0.00000000,0,0.00000000,4923,4950,74,0.00173410
1767983554.14969349,0.00614737,13731,0.00035314,0.00000000,0,0.00000000,4950,4991,72,0.00062832
1767983554.24918008,0.00905167,13518,0.00054550,0.00000000,0,0.00000000,4991,4997,79,0.00169305
1767983554.35004663,0.00675712,13704,0.00028598,0.00000000,0,0.00000000,4997,5008,54,0.00032441
1767983554.44954133,0.00912604,13526,0.00050957,0.00000000,0,0.00000000,5008,5054,97,0.00098528
1767983554.54910898,0.00253879,13547,0.00012376,0.00000000,0,0.00000000,5054,5099,99,0.00036072
1767983554.64868045,0.01021423,13534,0.00088544,0.00000000,0,0.00000000,5099,5114,86,0.00112067
1767983554.74946094,0.00254903,13693,0.00012711,0.00000000,0,0.00000000,5114,5122,46,0.00113786
1767983554.84902978,0.00409006,13524,0.00023205,0.00000000,0,0.00000000,5122,5118,53,0.00104691
1767983554.94989872,0.00362778,13741,0.00011319,0.00000000,0,0.00000000,5118,5146,48,0.00031405
1767983555.04943132,0.00653719,13545,0.00012216,0.00000000,0,0.00000000,5146,5157,58,0.00171523
1767983555.14893341,0.00405994,13563,0.00034242,0.00000000,0,0.00000000,5157,5171,58,0.00035942
1767983555.24848509,0.00841711,13542,0.00035017,0.00000000,0,0.00000000,5171,5197,63,0.00031212
1767983555.34800625,0.00352463,13512,0.00033436,0.00000000,0,0.00000000,5197,5234,72,0.00032904
1767983555.44744420,0.00910529,13382,0.00077112,0.00000000,0,0.00000000,5234,5288,141,0.00114404
1767983555.54708457,0.00334779,13261,0.00022190,0.00000000,0,0.00000000,5288,5350,106,0.00063136
1767983555.64664626,0.00656362,13262,0.00066566,0.00000000,0,0.00000000,5350,5402,110,0.00099182
1767983555.74749565,0.00591314,13415,0.00081010,0.00000000,0,0.00000000,5402,5393,122,0.00082941
1767983555.84830666,0.00964276,13462,0.00124520,0.00000000,0,0.00000000,5393,5456,178,0.00107885
1767983555.94921088,0.00316303,13451,0.00042382,0.00000000,0,0.00000000,5456,5540,160,0.00055030
1767983556.05006409,0.01052335,13558,0.00137858,0.00000000,0,0.00000000,5540,5707,240,0.00035509
1767983556.14955854,0.00782202,13400,0.00099148,0.00000000,0,0.00000000,5457,5630,214,0.00077368
1767983556.25045896,0.00414572,13559,0.00027792,0.00000000,0,0.00000000,5630,5727,134,0.00100913
1767983556.35129428,0.01092146,13614,0.00131419,0.00000000,0,0.00000000,5727,5857,209,0.00035325
